-40884	17177	38326	-47356	-16188
-54819	22565	35537	-54381	-24627
-44450	21313	33856	-53208	-13974
-44269	16195	38584	-53081	-21380
-35223	16288	32674	-49725	-14056
-33197	17041	26867	-35219	-13965
-33615	11249	26032	-37025	-16186
-36763	16866	27544	-39467	-12468
-45214	23708	19838	-34579	-24958
-43395	19686	14642	-28741	-27098
-58452	31382	20379	-47986	-31636
-37194	18631	26935	-36199	-16986
-45705	14352	32858	-58200	-19944
-40895	24733	12518	-38923	-27295
-43101	15074	34361	-60477	-18799
-38001	16178	26940	-46718	-12125
-47171	27853	13967	-32141	-31932
-63224	27111	30104	-51407	-36235
-49657	13920	36941	-58834	-13358
-41907	26960	16532	-32505	-20424
-52297	20317	39831	-60508	-16478
-58743	29248	19622	-36282	-33417
-48183	23098	16228	-39460	-31050
-40476	24984	20692	-31698	-21027
-37627	18727	25202	-45646	-9665
-46600	20464	21369	-31258	-22631
-39921	16858	35518	-48407	-15523
-38196	19578	26430	-34134	-25280
-37367	11619	29455	-58387	-18406
-60411	21214	19120	-40258	-34966
-36789	13195	29232	-46757	-13063
-36789	16368	18257	-32379	-24215
-56117	20609	31079	-56356	-25672
-62477	24474	28963	-52270	-27786
-60480	24938	23723	-45127	-37709
-48637	19572	39509	-55194	-19688
-42697	16179	29494	-42590	-15702
-60608	21087	33666	-59173	-27434
-48252	13702	35952	-53274	-12679
-41503	14540	34191	-46456	-11169
-41509	28799	12391	-34848	-28396
-55115	25498	13130	-37040	-28263
-58462	17169	35330	-55946	-18698
-55310	29503	21355	-45646	-32563
-62816	27089	24757	-43830	-34627
-38225	20354	26137	-41481	-16137
-31062	16013	28063	-38338	-14091
-59230	20346	34608	-58193	-22130
-54859	27323	15949	-41750	-32600
-35388	16770	32124	-52312	-12216
-52838	28750	12887	-30272	-30396
-38436	19648	21723	-29126	-21093
-39616	12043	32194	-47457	-11972
-49805	27841	17983	-31846	-30428
-51102	25187	17444	-35563	-34412
-39049	13050	24696	-41977	-15992
-44753	29138	21219	-28501	-31233
-56250	22008	31481	-61954	-21149
-63298	24364	28994	-59538	-30537
-61661	22672	29871	-58557	-26115
-35789	14036	26720	-37595	-17414
-56615	18778	31613	-57918	-18892
-42806	18264	39845	-52166	-16422
-58046	27657	16086	-40604	-33558
-55095	34846	14139	-35635	-37749
-62960	28066	24320	-52367	-30120
-53379	26788	19389	-41086	-37951
-35544	16719	23521	-34535	-20536
-40166	18628	27450	-39763	-26856
-45934	27486	21363	-29655	-26087
-58144	28358	26458	-53031	-32953
-53041	17879	26396	-53093	-11470
-49868	16734	41271	-55334	-21553
-61150	30192	22547	-51167	-32639
-58784	25998	26804	-49897	-31213
-56020	31862	20422	-38755	-33410
-66935	24583	30670	-60063	-28779
-49409	14841	31478	-60427	-15552
-40737	22714	23468	-37996	-18810
-55152	25312	23247	-41620	-31383
-38548	13378	32997	-53260	-9011
-47321	28316	18785	-37775	-32374
-46546	16719	31909	-56933	-13887
-43320	15040	32854	-50760	-11516
-45573	11916	36136	-54049	-16785
-43059	15031	35067	-48818	-15811
-55277	27193	15241	-38603	-29627
-42447	22160	21708	-38205	-17537
-59217	22113	25012	-50088	-34517
-40291	22837	18818	-31404	-26376
